Before CTE Training: train eu loss: 1.0375890731811523, eval eu loss: 1.492782711982727
Before CTE Training: train eu acc: 0.6748046875, eval eu acc: 0.560546875
epoch  38 summary: dyn_dyn_loss   : 2.00762, dyn_sta_loss   : 0.06329, tot_dyn_loss   : 0.25772, sta_sta_loss   : 4.06241, 
epoch  39 summary: dyn_dyn_loss   : 2.00492, dyn_sta_loss   : 0.06312, tot_dyn_loss   : 0.25730, sta_sta_loss   : 4.06241, 
epoch  40 summary: dyn_dyn_loss   : 1.99766, dyn_sta_loss   : 0.06424, tot_dyn_loss   : 0.25759, sta_sta_loss   : 4.06241, 
train loss: 0.0001, train acc: 1.0000
epoch  41 summary: dyn_dyn_loss   : 2.00340, dyn_sta_loss   : 0.06249, tot_dyn_loss   : 0.25658, sta_sta_loss   : 4.06241, 
epoch  42 summary: dyn_dyn_loss   : 2.00510, dyn_sta_loss   : 0.06164, tot_dyn_loss   : 0.25598, sta_sta_loss   : 4.06241, 
epoch  43 summary: dyn_dyn_loss   : 1.99699, dyn_sta_loss   : 0.06193, tot_dyn_loss   : 0.25543, sta_sta_loss   : 4.06241, 
epoch  44 summary: dyn_dyn_loss   : 1.99119, dyn_sta_loss   : 0.06444, tot_dyn_loss   : 0.25712, sta_sta_loss   : 4.06241, 
epoch  45 summary: dyn_dyn_loss   : 1.99439, dyn_sta_loss   : 0.06381, tot_dyn_loss   : 0.25687, sta_sta_loss   : 4.06241, 
epoch  46 summary: dyn_dyn_loss   : 1.99686, dyn_sta_loss   : 0.06337, tot_dyn_loss   : 0.25672, sta_sta_loss   : 4.06241, 
epoch  47 summary: dyn_dyn_loss   : 2.00398, dyn_sta_loss   : 0.06191, tot_dyn_loss   : 0.25612, sta_sta_loss   : 4.06241, 
epoch  48 summary: dyn_dyn_loss   : 2.00482, dyn_sta_loss   : 0.06234, tot_dyn_loss   : 0.25659, sta_sta_loss   : 4.06241, 
epoch  49 summary: dyn_dyn_loss   : 1.99589, dyn_sta_loss   : 0.06528, tot_dyn_loss   : 0.25834, sta_sta_loss   : 4.06241, 
epoch  50 summary: dyn_dyn_loss   : 2.00293, dyn_sta_loss   : 0.06283, tot_dyn_loss   : 0.25684, sta_sta_loss   : 4.06241, 
train loss: 0.0001, train acc: 1.0000
epoch  51 summary: dyn_dyn_loss   : 1.99190, dyn_sta_loss   : 0.06244, tot_dyn_loss   : 0.25539, sta_sta_loss   : 4.06241, 
epoch  52 summary: dyn_dyn_loss   : 1.98930, dyn_sta_loss   : 0.06504, tot_dyn_loss   : 0.25746, sta_sta_loss   : 4.06241, 
epoch  53 summary: dyn_dyn_loss   : 1.99239, dyn_sta_loss   : 0.06324, tot_dyn_loss   : 0.25616, sta_sta_loss   : 4.06241, 
epoch  54 summary: dyn_dyn_loss   : 1.99583, dyn_sta_loss   : 0.06523, tot_dyn_loss   : 0.25829, sta_sta_loss   : 4.06241, 
epoch  55 summary: dyn_dyn_loss   : 2.00111, dyn_sta_loss   : 0.06459, tot_dyn_loss   : 0.25824, sta_sta_loss   : 4.06241, 
epoch  56 summary: dyn_dyn_loss   : 2.00240, dyn_sta_loss   : 0.06214, tot_dyn_loss   : 0.25617, sta_sta_loss   : 4.06241, 
epoch  57 summary: dyn_dyn_loss   : 1.99357, dyn_sta_loss   : 0.06258, tot_dyn_loss   : 0.25568, sta_sta_loss   : 4.06241, 
epoch  58 summary: dyn_dyn_loss   : 1.99258, dyn_sta_loss   : 0.06480, tot_dyn_loss   : 0.25758, sta_sta_loss   : 4.06241, 
epoch  59 summary: dyn_dyn_loss   : 1.99851, dyn_sta_loss   : 0.06015, tot_dyn_loss   : 0.25398, sta_sta_loss   : 4.06241, 
epoch  60 summary: dyn_dyn_loss   : 1.98759, dyn_sta_loss   : 0.06292, tot_dyn_loss   : 0.25539, sta_sta_loss   : 4.06241, 
train loss: 0.0002, train acc: 1.0000
epoch  61 summary: dyn_dyn_loss   : 1.98524, dyn_sta_loss   : 0.06505, tot_dyn_loss   : 0.25707, sta_sta_loss   : 4.06241, 
epoch  62 summary: dyn_dyn_loss   : 2.00105, dyn_sta_loss   : 0.06262, tot_dyn_loss   : 0.25647, sta_sta_loss   : 4.06241, 
epoch  63 summary: dyn_dyn_loss   : 1.98855, dyn_sta_loss   : 0.06285, tot_dyn_loss   : 0.25542, sta_sta_loss   : 4.06241, 
epoch  64 summary: dyn_dyn_loss   : 1.99299, dyn_sta_loss   : 0.06215, tot_dyn_loss   : 0.25523, sta_sta_loss   : 4.06241, 
epoch  65 summary: dyn_dyn_loss   : 1.98496, dyn_sta_loss   : 0.06032, tot_dyn_loss   : 0.25278, sta_sta_loss   : 4.06241, 
epoch  66 summary: dyn_dyn_loss   : 1.97786, dyn_sta_loss   : 0.06451, tot_dyn_loss   : 0.25584, sta_sta_loss   : 4.06241, 
