Before CTE Training: train eu loss: 1.063186526298523, eval eu loss: 1.492782711982727
Before CTE Training: train eu acc: 0.6669921875, eval eu acc: 0.560546875
epoch   0 summary: dyn_dyn_loss   : 0.24058, dyn_sta_loss   : 4.15114, tot_dyn_loss   : 3.76009, sta_sta_loss   : 0.57483, 
train loss: 2.8060, train acc: 0.4409
epoch   1 summary: dyn_dyn_loss   : 0.23764, dyn_sta_loss   : 3.87016, tot_dyn_loss   : 3.50691, sta_sta_loss   : 0.57483, 
epoch   2 summary: dyn_dyn_loss   : 0.23170, dyn_sta_loss   : 3.60325, tot_dyn_loss   : 3.26610, sta_sta_loss   : 0.57483, 
epoch   3 summary: dyn_dyn_loss   : 0.22523, dyn_sta_loss   : 3.35583, tot_dyn_loss   : 3.04277, sta_sta_loss   : 0.57483, 
epoch   4 summary: dyn_dyn_loss   : 0.21974, dyn_sta_loss   : 3.12823, tot_dyn_loss   : 2.83738, sta_sta_loss   : 0.57483, 
epoch   5 summary: dyn_dyn_loss   : 0.21672, dyn_sta_loss   : 2.92145, tot_dyn_loss   : 2.65097, sta_sta_loss   : 0.57483, 
epoch   6 summary: dyn_dyn_loss   : 0.21666, dyn_sta_loss   : 2.73915, tot_dyn_loss   : 2.48690, sta_sta_loss   : 0.57483, 
epoch   7 summary: dyn_dyn_loss   : 0.21966, dyn_sta_loss   : 2.57948, tot_dyn_loss   : 2.34349, sta_sta_loss   : 0.57483, 
epoch   8 summary: dyn_dyn_loss   : 0.22584, dyn_sta_loss   : 2.44610, tot_dyn_loss   : 2.22407, sta_sta_loss   : 0.57483, 
epoch   9 summary: dyn_dyn_loss   : 0.23539, dyn_sta_loss   : 2.31397, tot_dyn_loss   : 2.10612, sta_sta_loss   : 0.57483, 
epoch  10 summary: dyn_dyn_loss   : 0.24791, dyn_sta_loss   : 2.19207, tot_dyn_loss   : 1.99765, sta_sta_loss   : 0.57483, 
train loss: 0.0004, train acc: 1.0000
epoch  11 summary: dyn_dyn_loss   : 0.26305, dyn_sta_loss   : 2.09685, tot_dyn_loss   : 1.91347, sta_sta_loss   : 0.57483, 
epoch  12 summary: dyn_dyn_loss   : 0.28015, dyn_sta_loss   : 2.01404, tot_dyn_loss   : 1.84065, sta_sta_loss   : 0.57483, 
epoch  13 summary: dyn_dyn_loss   : 0.29848, dyn_sta_loss   : 1.93481, tot_dyn_loss   : 1.77118, sta_sta_loss   : 0.57483, 
epoch  14 summary: dyn_dyn_loss   : 0.31708, dyn_sta_loss   : 1.88348, tot_dyn_loss   : 1.72684, sta_sta_loss   : 0.57483, 
epoch  15 summary: dyn_dyn_loss   : 0.33569, dyn_sta_loss   : 1.83072, tot_dyn_loss   : 1.68122, sta_sta_loss   : 0.57483, 
epoch  16 summary: dyn_dyn_loss   : 0.35305, dyn_sta_loss   : 1.77806, tot_dyn_loss   : 1.63556, sta_sta_loss   : 0.57483, 
epoch  17 summary: dyn_dyn_loss   : 0.37115, dyn_sta_loss   : 1.74082, tot_dyn_loss   : 1.60385, sta_sta_loss   : 0.57483, 
epoch  18 summary: dyn_dyn_loss   : 0.38739, dyn_sta_loss   : 1.70582, tot_dyn_loss   : 1.57397, sta_sta_loss   : 0.57483, 
epoch  19 summary: dyn_dyn_loss   : 0.40314, dyn_sta_loss   : 1.66749, tot_dyn_loss   : 1.54106, sta_sta_loss   : 0.57483, 
epoch  20 summary: dyn_dyn_loss   : 0.41778, dyn_sta_loss   : 1.63476, tot_dyn_loss   : 1.51306, sta_sta_loss   : 0.57483, 
train loss: 0.0000, train acc: 1.0000
epoch  21 summary: dyn_dyn_loss   : 0.43247, dyn_sta_loss   : 1.61572, tot_dyn_loss   : 1.49740, sta_sta_loss   : 0.57483, 
epoch  22 summary: dyn_dyn_loss   : 0.44582, dyn_sta_loss   : 1.60105, tot_dyn_loss   : 1.48553, sta_sta_loss   : 0.57483, 
epoch  23 summary: dyn_dyn_loss   : 0.45563, dyn_sta_loss   : 1.59847, tot_dyn_loss   : 1.48418, sta_sta_loss   : 0.57483, 
epoch  24 summary: dyn_dyn_loss   : 0.46372, dyn_sta_loss   : 1.58070, tot_dyn_loss   : 1.46900, sta_sta_loss   : 0.57483, 
epoch  25 summary: dyn_dyn_loss   : 0.47003, dyn_sta_loss   : 1.56484, tot_dyn_loss   : 1.45536, sta_sta_loss   : 0.57483, 
epoch  26 summary: dyn_dyn_loss   : 0.47674, dyn_sta_loss   : 1.54960, tot_dyn_loss   : 1.44232, sta_sta_loss   : 0.57483, 
epoch  27 summary: dyn_dyn_loss   : 0.48344, dyn_sta_loss   : 1.55323, tot_dyn_loss   : 1.44625, sta_sta_loss   : 0.57483, 
epoch  28 summary: dyn_dyn_loss   : 0.48725, dyn_sta_loss   : 1.55320, tot_dyn_loss   : 1.44660, sta_sta_loss   : 0.57483, 
epoch  29 summary: dyn_dyn_loss   : 0.49011, dyn_sta_loss   : 1.53610, tot_dyn_loss   : 1.43150, sta_sta_loss   : 0.57483, 
epoch  30 summary: dyn_dyn_loss   : 0.49497, dyn_sta_loss   : 1.53425, tot_dyn_loss   : 1.43032, sta_sta_loss   : 0.57483, 
train loss: 0.0000, train acc: 1.0000
epoch  31 summary: dyn_dyn_loss   : 0.49830, dyn_sta_loss   : 1.52255, tot_dyn_loss   : 1.42012, sta_sta_loss   : 0.57483, 
epoch  32 summary: dyn_dyn_loss   : 0.50263, dyn_sta_loss   : 1.51125, tot_dyn_loss   : 1.41038, sta_sta_loss   : 0.57483, 
epoch  33 summary: dyn_dyn_loss   : 0.50720, dyn_sta_loss   : 1.50835, tot_dyn_loss   : 1.40824, sta_sta_loss   : 0.57483, 
