epoch  26 summary: dyn_dyn_cos_loss: 0.00000, dyn_sta_cos_loss: 0.00000, total_cos_loss : 0.00000, vocab_cro_loss : 1.34753, 
Warning: failed to save checkpoint at epoch 26: name 'train_new_save_path' is not defined
epoch  27 summary: dyn_dyn_cos_loss: 0.00000, dyn_sta_cos_loss: 0.00000, total_cos_loss : 0.00000, vocab_cro_loss : 1.32453, 
Warning: failed to save checkpoint at epoch 27: name 'train_new_save_path' is not defined
epoch  28 summary: dyn_dyn_cos_loss: 0.00842, dyn_sta_cos_loss: 0.00221, total_cos_loss : 0.00221, vocab_cro_loss : 1.31856, 
Warning: failed to save checkpoint at epoch 28: name 'train_new_save_path' is not defined
epoch  29 summary: dyn_dyn_cos_loss: 0.00000, dyn_sta_cos_loss: 0.00000, total_cos_loss : 0.00000, vocab_cro_loss : 1.31714, 
Warning: failed to save checkpoint at epoch 29: name 'train_new_save_path' is not defined
epoch  30 summary: dyn_dyn_cos_loss: 0.00000, dyn_sta_cos_loss: 0.00000, total_cos_loss : 0.00000, vocab_cro_loss : 1.30598, 
train loss: 1.2975, train acc: 0.6289
Warning: failed to save checkpoint at epoch 30: name 'train_new_save_path' is not defined
epoch  31 summary: dyn_dyn_cos_loss: 0.00000, dyn_sta_cos_loss: 0.00000, total_cos_loss : 0.00000, vocab_cro_loss : 1.29745, 
Warning: failed to save checkpoint at epoch 31: name 'train_new_save_path' is not defined
epoch  32 summary: dyn_dyn_cos_loss: 0.00762, dyn_sta_cos_loss: 0.00199, total_cos_loss : 0.00199, vocab_cro_loss : 1.28716, 
Warning: failed to save checkpoint at epoch 32: name 'train_new_save_path' is not defined
epoch  33 summary: dyn_dyn_cos_loss: 0.00000, dyn_sta_cos_loss: 0.00000, total_cos_loss : 0.00000, vocab_cro_loss : 1.29655, 
Warning: failed to save checkpoint at epoch 33: name 'train_new_save_path' is not defined
epoch  34 summary: dyn_dyn_cos_loss: 0.00000, dyn_sta_cos_loss: 0.00000, total_cos_loss : 0.00000, vocab_cro_loss : 1.31844, 
Warning: failed to save checkpoint at epoch 34: name 'train_new_save_path' is not defined
epoch  35 summary: dyn_dyn_cos_loss: 0.00000, dyn_sta_cos_loss: 0.00000, total_cos_loss : 0.00000, vocab_cro_loss : 1.32746, 
Warning: failed to save checkpoint at epoch 35: name 'train_new_save_path' is not defined
epoch  36 summary: dyn_dyn_cos_loss: 0.00684, dyn_sta_cos_loss: 0.00220, total_cos_loss : 0.00220, vocab_cro_loss : 1.30876, 
Warning: failed to save checkpoint at epoch 36: name 'train_new_save_path' is not defined
epoch  37 summary: dyn_dyn_cos_loss: 0.00000, dyn_sta_cos_loss: 0.00000, total_cos_loss : 0.00000, vocab_cro_loss : 1.32105, 
Warning: failed to save checkpoint at epoch 37: name 'train_new_save_path' is not defined
epoch  38 summary: dyn_dyn_cos_loss: 0.00000, dyn_sta_cos_loss: 0.00000, total_cos_loss : 0.00000, vocab_cro_loss : 1.29979, 
Warning: failed to save checkpoint at epoch 38: name 'train_new_save_path' is not defined
epoch  39 summary: dyn_dyn_cos_loss: 0.00000, dyn_sta_cos_loss: 0.00000, total_cos_loss : 0.00000, vocab_cro_loss : 1.27964, 
Warning: failed to save checkpoint at epoch 39: name 'train_new_save_path' is not defined
epoch  40 summary: dyn_dyn_cos_loss: 0.00672, dyn_sta_cos_loss: 0.00194, total_cos_loss : 0.00194, vocab_cro_loss : 1.27172, 
train loss: 1.2884, train acc: 0.6311
Warning: failed to save checkpoint at epoch 40: name 'train_new_save_path' is not defined
