Before CTE Training: train eu loss: 1.057024359703064, eval eu loss: 1.4517745971679688
Before CTE Training: train eu acc: 0.66552734375, eval eu acc: 0.5794677734375
epoch   0 summary: dyn_dyn_cos_loss: 0.02365, dyn_sta_cos_loss: 0.00709, total_cos_loss : 0.00875, vocab_cro_loss : 4.41367, 
train loss: 3.4521, train acc: 0.2759
epoch   1 summary: dyn_dyn_cos_loss: 0.02210, dyn_sta_cos_loss: 0.00640, total_cos_loss : 0.00797, vocab_cro_loss : 3.45171, 
epoch   2 summary: dyn_dyn_cos_loss: 0.01997, dyn_sta_cos_loss: 0.00540, total_cos_loss : 0.00686, vocab_cro_loss : 2.51161, 
epoch   3 summary: dyn_dyn_cos_loss: 0.01710, dyn_sta_cos_loss: 0.00454, total_cos_loss : 0.00579, vocab_cro_loss : 2.00755, 
epoch   4 summary: dyn_dyn_cos_loss: 0.01413, dyn_sta_cos_loss: 0.00371, total_cos_loss : 0.00475, vocab_cro_loss : 1.73735, 
epoch   5 summary: dyn_dyn_cos_loss: 0.01151, dyn_sta_cos_loss: 0.00316, total_cos_loss : 0.00399, vocab_cro_loss : 1.62396, 
epoch   6 summary: dyn_dyn_cos_loss: 0.00936, dyn_sta_cos_loss: 0.00285, total_cos_loss : 0.00350, vocab_cro_loss : 1.66700, 
epoch   7 summary: dyn_dyn_cos_loss: 0.00767, dyn_sta_cos_loss: 0.00251, total_cos_loss : 0.00303, vocab_cro_loss : 1.65622, 
epoch   8 summary: dyn_dyn_cos_loss: 0.00624, dyn_sta_cos_loss: 0.00231, total_cos_loss : 0.00270, vocab_cro_loss : 1.58945, 
epoch   9 summary: dyn_dyn_cos_loss: 0.00514, dyn_sta_cos_loss: 0.00234, total_cos_loss : 0.00262, vocab_cro_loss : 1.61390, 
epoch  10 summary: dyn_dyn_cos_loss: 0.00434, dyn_sta_cos_loss: 0.00213, total_cos_loss : 0.00235, vocab_cro_loss : 1.65549, 
train loss: 1.5878, train acc: 0.5862
epoch  11 summary: dyn_dyn_cos_loss: 0.00374, dyn_sta_cos_loss: 0.00213, total_cos_loss : 0.00229, vocab_cro_loss : 1.58724, 
epoch  12 summary: dyn_dyn_cos_loss: 0.00340, dyn_sta_cos_loss: 0.00200, total_cos_loss : 0.00214, vocab_cro_loss : 2.08208, 
epoch  13 summary: dyn_dyn_cos_loss: 0.00314, dyn_sta_cos_loss: 0.00211, total_cos_loss : 0.00221, vocab_cro_loss : 1.67558, 
epoch  14 summary: dyn_dyn_cos_loss: 0.00302, dyn_sta_cos_loss: 0.00196, total_cos_loss : 0.00206, vocab_cro_loss : 1.62099, 
epoch  15 summary: dyn_dyn_cos_loss: 0.00283, dyn_sta_cos_loss: 0.00198, total_cos_loss : 0.00207, vocab_cro_loss : 1.64084, 
epoch  16 summary: dyn_dyn_cos_loss: 0.00267, dyn_sta_cos_loss: 0.00201, total_cos_loss : 0.00208, vocab_cro_loss : 1.52210, 
epoch  17 summary: dyn_dyn_cos_loss: 0.00267, dyn_sta_cos_loss: 0.00188, total_cos_loss : 0.00196, vocab_cro_loss : 1.47965, 
epoch  18 summary: dyn_dyn_cos_loss: 0.00258, dyn_sta_cos_loss: 0.00185, total_cos_loss : 0.00192, vocab_cro_loss : 1.42750, 
epoch  19 summary: dyn_dyn_cos_loss: 0.00250, dyn_sta_cos_loss: 0.00180, total_cos_loss : 0.00187, vocab_cro_loss : 1.49504, 
epoch  20 summary: dyn_dyn_cos_loss: 0.00263, dyn_sta_cos_loss: 0.00184, total_cos_loss : 0.00192, vocab_cro_loss : 1.50383, 
train loss: 1.4717, train acc: 0.5974
epoch  21 summary: dyn_dyn_cos_loss: 0.00258, dyn_sta_cos_loss: 0.00179, total_cos_loss : 0.00187, vocab_cro_loss : 1.47143, 
epoch  22 summary: dyn_dyn_cos_loss: 0.00252, dyn_sta_cos_loss: 0.00169, total_cos_loss : 0.00177, vocab_cro_loss : 1.42864, 
epoch  23 summary: dyn_dyn_cos_loss: 0.00248, dyn_sta_cos_loss: 0.00172, total_cos_loss : 0.00179, vocab_cro_loss : 1.47511, 
epoch  24 summary: dyn_dyn_cos_loss: 0.00241, dyn_sta_cos_loss: 0.00161, total_cos_loss : 0.00169, vocab_cro_loss : 1.42464, 
epoch  25 summary: dyn_dyn_cos_loss: 0.00249, dyn_sta_cos_loss: 0.00165, total_cos_loss : 0.00174, vocab_cro_loss : 1.39545, 
epoch  26 summary: dyn_dyn_cos_loss: 0.00252, dyn_sta_cos_loss: 0.00161, total_cos_loss : 0.00170, vocab_cro_loss : 1.38516, 
epoch  27 summary: dyn_dyn_cos_loss: 0.00261, dyn_sta_cos_loss: 0.00160, total_cos_loss : 0.00170, vocab_cro_loss : 1.42404, 
epoch  28 summary: dyn_dyn_cos_loss: 0.00275, dyn_sta_cos_loss: 0.00157, total_cos_loss : 0.00169, vocab_cro_loss : 1.45226, 
epoch  29 summary: dyn_dyn_cos_loss: 0.00270, dyn_sta_cos_loss: 0.00166, total_cos_loss : 0.00177, vocab_cro_loss : 1.49317, 
epoch  30 summary: dyn_dyn_cos_loss: 0.00263, dyn_sta_cos_loss: 0.00169, total_cos_loss : 0.00178, vocab_cro_loss : 1.46596, 
train loss: 1.4308, train acc: 0.6003
epoch  31 summary: dyn_dyn_cos_loss: 0.00247, dyn_sta_cos_loss: 0.00162, total_cos_loss : 0.00170, vocab_cro_loss : 1.43043, 
epoch  32 summary: dyn_dyn_cos_loss: 0.00234, dyn_sta_cos_loss: 0.00166, total_cos_loss : 0.00173, vocab_cro_loss : 1.50384, 
epoch  33 summary: dyn_dyn_cos_loss: 0.00230, dyn_sta_cos_loss: 0.00160, total_cos_loss : 0.00167, vocab_cro_loss : 1.44589, 
epoch  34 summary: dyn_dyn_cos_loss: 0.00224, dyn_sta_cos_loss: 0.00160, total_cos_loss : 0.00167, vocab_cro_loss : 1.50525, 
epoch  35 summary: dyn_dyn_cos_loss: 0.00221, dyn_sta_cos_loss: 0.00176, total_cos_loss : 0.00181, vocab_cro_loss : 1.54306, 
epoch  36 summary: dyn_dyn_cos_loss: 0.00219, dyn_sta_cos_loss: 0.00170, total_cos_loss : 0.00175, vocab_cro_loss : 1.56439, 
epoch  37 summary: dyn_dyn_cos_loss: 0.00220, dyn_sta_cos_loss: 0.00167, total_cos_loss : 0.00172, vocab_cro_loss : 1.44523, 
epoch  38 summary: dyn_dyn_cos_loss: 0.00217, dyn_sta_cos_loss: 0.00167, total_cos_loss : 0.00172, vocab_cro_loss : 1.43911, 
epoch  39 summary: dyn_dyn_cos_loss: 0.00212, dyn_sta_cos_loss: 0.00155, total_cos_loss : 0.00161, vocab_cro_loss : 1.45713, 
epoch  40 summary: dyn_dyn_cos_loss: 0.00205, dyn_sta_cos_loss: 0.00153, total_cos_loss : 0.00158, vocab_cro_loss : 1.43889, 
train loss: 1.4213, train acc: 0.5974
epoch  41 summary: dyn_dyn_cos_loss: 0.00199, dyn_sta_cos_loss: 0.00145, total_cos_loss : 0.00150, vocab_cro_loss : 1.42104, 
epoch  42 summary: dyn_dyn_cos_loss: 0.00190, dyn_sta_cos_loss: 0.00148, total_cos_loss : 0.00152, vocab_cro_loss : 1.45131, 
epoch  43 summary: dyn_dyn_cos_loss: 0.00188, dyn_sta_cos_loss: 0.00145, total_cos_loss : 0.00149, vocab_cro_loss : 1.43474, 
epoch  44 summary: dyn_dyn_cos_loss: 0.00187, dyn_sta_cos_loss: 0.00153, total_cos_loss : 0.00157, vocab_cro_loss : 1.54631, 
epoch  45 summary: dyn_dyn_cos_loss: 0.00201, dyn_sta_cos_loss: 0.00159, total_cos_loss : 0.00163, vocab_cro_loss : 1.44946, 
epoch  46 summary: dyn_dyn_cos_loss: 0.00227, dyn_sta_cos_loss: 0.00153, total_cos_loss : 0.00160, vocab_cro_loss : 1.41253, 
epoch  47 summary: dyn_dyn_cos_loss: 0.00235, dyn_sta_cos_loss: 0.00147, total_cos_loss : 0.00156, vocab_cro_loss : 1.40981, 
epoch  48 summary: dyn_dyn_cos_loss: 0.00226, dyn_sta_cos_loss: 0.00141, total_cos_loss : 0.00150, vocab_cro_loss : 1.41009, 
epoch  49 summary: dyn_dyn_cos_loss: 0.00228, dyn_sta_cos_loss: 0.00146, total_cos_loss : 0.00155, vocab_cro_loss : 1.37996, 
epoch  50 summary: dyn_dyn_cos_loss: 0.00242, dyn_sta_cos_loss: 0.00144, total_cos_loss : 0.00154, vocab_cro_loss : 1.35026, 
train loss: 1.3335, train acc: 0.6160
epoch  51 summary: dyn_dyn_cos_loss: 0.00243, dyn_sta_cos_loss: 0.00141, total_cos_loss : 0.00151, vocab_cro_loss : 1.33335, 
epoch  52 summary: dyn_dyn_cos_loss: 0.00236, dyn_sta_cos_loss: 0.00139, total_cos_loss : 0.00149, vocab_cro_loss : 1.31210, 
epoch  53 summary: dyn_dyn_cos_loss: 0.00229, dyn_sta_cos_loss: 0.00138, total_cos_loss : 0.00147, vocab_cro_loss : 1.32892, 
epoch  54 summary: dyn_dyn_cos_loss: 0.00223, dyn_sta_cos_loss: 0.00142, total_cos_loss : 0.00150, vocab_cro_loss : 1.30788, 
epoch  55 summary: dyn_dyn_cos_loss: 0.00218, dyn_sta_cos_loss: 0.00135, total_cos_loss : 0.00143, vocab_cro_loss : 1.29268, 
epoch  56 summary: dyn_dyn_cos_loss: 0.00210, dyn_sta_cos_loss: 0.00133, total_cos_loss : 0.00141, vocab_cro_loss : 1.30460, 
epoch  57 summary: dyn_dyn_cos_loss: 0.00207, dyn_sta_cos_loss: 0.00137, total_cos_loss : 0.00144, vocab_cro_loss : 1.28435, 
epoch  58 summary: dyn_dyn_cos_loss: 0.00208, dyn_sta_cos_loss: 0.00139, total_cos_loss : 0.00146, vocab_cro_loss : 1.29899, 
epoch  59 summary: dyn_dyn_cos_loss: 0.00206, dyn_sta_cos_loss: 0.00139, total_cos_loss : 0.00146, vocab_cro_loss : 1.50550, 
epoch  60 summary: dyn_dyn_cos_loss: 0.00212, dyn_sta_cos_loss: 0.00140, total_cos_loss : 0.00147, vocab_cro_loss : 1.44984, 
