Before CTE Training: train eu loss: 1.0715794563293457, eval eu loss: 1.492782711982727
Before CTE Training: train eu acc: 0.6578369140625, eval eu acc: 0.560546875
epoch   0 summary: dyn_dyn_cos_loss: 0.02368, dyn_sta_cos_loss: 0.00710, total_cos_loss : 0.01042, vocab_cro_loss : 4.48642, 
train loss: 3.6867, train acc: 0.2068
epoch   1 summary: dyn_dyn_cos_loss: 0.00000, dyn_sta_cos_loss: 0.00000, total_cos_loss : 0.00000, vocab_cro_loss : 3.68649, 
epoch   2 summary: dyn_dyn_cos_loss: 0.02266, dyn_sta_cos_loss: 0.00638, total_cos_loss : 0.00964, vocab_cro_loss : 3.60292, 
epoch   3 summary: dyn_dyn_cos_loss: 0.00000, dyn_sta_cos_loss: 0.00000, total_cos_loss : 0.00000, vocab_cro_loss : 2.86505, 
epoch   4 summary: dyn_dyn_cos_loss: 0.02071, dyn_sta_cos_loss: 0.00536, total_cos_loss : 0.00843, vocab_cro_loss : 2.81994, 
epoch   5 summary: dyn_dyn_cos_loss: 0.00000, dyn_sta_cos_loss: 0.00000, total_cos_loss : 0.00000, vocab_cro_loss : 2.40091, 
epoch   6 summary: dyn_dyn_cos_loss: 0.01788, dyn_sta_cos_loss: 0.00440, total_cos_loss : 0.00710, vocab_cro_loss : 2.38019, 
epoch   7 summary: dyn_dyn_cos_loss: 0.00000, dyn_sta_cos_loss: 0.00000, total_cos_loss : 0.00000, vocab_cro_loss : 2.14283, 
epoch   8 summary: dyn_dyn_cos_loss: 0.01490, dyn_sta_cos_loss: 0.00381, total_cos_loss : 0.00603, vocab_cro_loss : 2.16898, 
epoch   9 summary: dyn_dyn_cos_loss: 0.00000, dyn_sta_cos_loss: 0.00000, total_cos_loss : 0.00000, vocab_cro_loss : 1.95891, 
epoch  10 summary: dyn_dyn_cos_loss: 0.01224, dyn_sta_cos_loss: 0.00328, total_cos_loss : 0.00507, vocab_cro_loss : 1.94477, 
train loss: 1.8401, train acc: 0.5288
